car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,image_urls
Tata Nexon EV Max,1,Electric,0,0,5.0,Electric,0.0,SUV,5.0,463000,583000,250.0,0,141.04,0,https://imgd.aeplcdn.com/1200x900/n/cw/ec/121341/nexon-ev-max-exterior-right-front-three-quarter-7.jpeg?isig=0&q=75
Mahindra Bolero Neo,97,Diesel,1493,3,7.0,Manual,50.0,SUV,4.5,903000,1173000,260.0,2250,100.0,3750,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20210716052353_Mahindra_Bolero_Neo_rear_tracking.jpg&w=726&h=482&q=75&c=1
Mahindra Bolero Neo,1,Diesel,1493,3,7.0,Manual,50.0,SUV,4.5,13500000,25700000,260.0,2250,100.0,3750,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20210716052353_Mahindra_Bolero_Neo_rear_tracking.jpg&w=726&h=482&q=75&c=1
Audi e-tron GT,1,Electric,0,0,5.0,Electric,0.0,Coupe,4.5,5800000,5800000,630.0,0,522.99,0,https://cdn.automobile-propre.com/uploads/2021/02/Audi-e-Tron-GT-29.jpg
Maruti Swift Dzire Tour,1,CNG,1197,4,5.0,Manual,55.0,Sedan,4.5,13500000,25700000,95.0,4000,70.4,6000,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Swift-Dzire-Tour/8863/1664262619298/front-left-side-47.jpg
Mercedes-Benz AMG A 35,21,Petrol,1991,4,5.0,Automatic,51.0,Sedan,4.5,1989000,1989000,400.0,4000,301.73,5800,https://images.caradisiac.com/images/2/1/0/6/172106/S0-mercedes-amg-classe-a-35-un-prix-de-50-400-eur-569831.jpg
Mercedes-Benz GLC Coupe,5,Diesel,1950,4,5.0,Automatic,66.0,Coupe,5.0,3132000,3132000,500.0,2400,241.38,4200,https://i.gaw.to/content/photos/56/52/565245-le-mercedes-benz-glc-coupe-2024-suit-les-traces-de-son-frere.jpeg
Toyota Glanza,23,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,2990000,3695000,113.0,4400,88.5,6000,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Glanza/10231/1686812796183/front-left-side-47.jpg
Toyota Glanza,3,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,5590000,5590000,113.0,4400,88.5,6000,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Glanza/10231/1686812796183/front-left-side-47.jpg
Porsche Cayenne Coupe,1,Petrol,3996,8,4.0,Automatic,0.0,SUV,3.5,18900000,18900000,850.0,4500,631.62,6000,https://files.porsche.com/filestore/image/multimedia/none/e3-2nd-cayenne-coupe-modelimage-sideshot/model/d7bd2885-e03c-11ed-8101-005056bbdc38/porsche-model.png
Porsche Cayenne Coupe,6,Petrol,3996,8,4.0,Automatic,0.0,SUV,3.5,391000,397000,850.0,4500,631.62,6000,https://files.porsche.com/filestore/image/multimedia/none/e3-2nd-cayenne-coupe-modelimage-sideshot/model/d7bd2885-e03c-11ed-8101-005056bbdc38/porsche-model.png
Honda City Hybrid,1,Petrol,1498,4,5.0,Automatic,40.0,Sedan,4.5,8150000,8150000,127.0,5000,96.55,6400,https://stimg.cardekho.com/images/carexteriorimages/930x620/Honda/City-Hybrid-2023/9713/1677745369245/front-left-side-47.jpg
Compass Trailhawk,1,Diesel,1998,4,5.0,Automatic,60.0,SUV,4.5,5450000,5690000,350.0,2500,170.0,3750,https://www.jeep.com/content/dam/fca-brands/na/jeep/en_us/2023/compass/capability/desktop/MY23-Compass-Capability-Sticky-Container-Articulation-Desktop.jpg
